time.time(), c1pp, c2pp
1727776747.7910047, 7.837E+00, 1.990E+01
1727776747.899627, 7.810E+00, 1.996E+01
1727776748.0084589, 7.810E+00, 1.993E+01
1727776748.1169531, 7.806E+00, 1.993E+01
1727776748.2247124, 7.815E+00, 1.989E+01
1727776748.3320026, 7.824E+00, 1.996E+01
1727776748.4415247, 7.819E+00, 1.999E+01
1727776748.5507934, 7.802E+00, 1.994E+01
1727776748.6598132, 7.828E+00, 1.995E+01
1727776748.7726715, 7.824E+00, 1.998E+01
1727776748.8784792, 7.819E+00, 1.990E+01
1727776748.987773, 7.828E+00, 1.993E+01
1727776749.0980074, 7.819E+00, 1.993E+01
1727776749.2068064, 7.815E+00, 1.986E+01
1727776749.319392, 7.815E+00, 1.996E+01
1727776749.4270353, 7.819E+00, 1.990E+01
1727776749.5340064, 7.824E+00, 1.990E+01
1727776749.640713, 7.846E+00, 1.985E+01
1727776749.7490535, 7.815E+00, 1.989E+01
1727776749.8580403, 7.833E+00, 1.991E+01
1727776749.9655561, 7.824E+00, 1.994E+01
1727776750.0725522, 7.842E+00, 1.991E+01
1727776750.180012, 7.824E+00, 1.993E+01
1727776750.289675, 7.802E+00, 1.991E+01
1727776750.3994296, 7.810E+00, 1.995E+01
1727776750.5071645, 7.819E+00, 1.990E+01
1727776750.615387, 7.797E+00, 1.996E+01
1727776750.726292, 7.824E+00, 1.990E+01
1727776750.8348267, 7.797E+00, 1.996E+01
1727776750.9435065, 7.815E+00, 1.995E+01
1727776751.0508435, 7.819E+00, 1.990E+01
1727776751.1596386, 7.824E+00, 1.995E+01
1727776751.2662432, 7.806E+00, 1.993E+01
1727776751.3752375, 7.806E+00, 1.988E+01
1727776751.4825895, 7.802E+00, 1.994E+01
1727776751.5902267, 7.815E+00, 1.988E+01
1727776751.699606, 7.829E+00, 1.991E+01
1727776751.809063, 7.810E+00, 1.990E+01
1727776751.9166431, 7.842E+00, 1.986E+01
1727776752.022481, 7.824E+00, 1.986E+01
